Epoch,Train_Loss,Train_Accuracy,Valid_Loss,Valid_Accuracy,Valid_AUC,Valid_F1
1,0.7786285917866712,0.71824303302369,1.8863431488404698,0.46261495401839264,0.882894825381341,0.4214155735824775
2,0.46786204368158196,0.835481576958976,0.7541023159875531,0.7489004398240704,0.97014291335179,0.7100706506951089
3,0.3287082923624832,0.8860060447130984,0.3525742595372606,0.8758496601359457,0.9936477607489669,0.8704078003014822
4,0.2527732803839419,0.9135183785946042,0.33120199293196084,0.8829468212714914,0.9933000015241702,0.8854880448674439
5,0.21920749037309437,0.9250855593581937,0.3030715503963362,0.8993402638944422,0.9938694363728917,0.8983697477950408
6,0.12315107068515756,0.9603537935019334,0.09412614760793052,0.9704118352658937,0.9991598254905445,0.9699926610716764
7,0.10564531249861499,0.9655873594381973,0.08915483390913158,0.9706117552978808,0.999240962854384,0.9704653213472267
8,0.09824152904080785,0.9679319080848038,0.08334574495397154,0.9727109156337465,0.9993900143522576,0.9727744226537762
9,0.09229803149106953,0.9700653362371661,0.08331547872346194,0.9723110755697721,0.9993777481490524,0.9726651032252127
10,0.08676998301545082,0.9718320814258411,0.06367838190405256,0.9806077568972411,0.9995307550538125,0.9806553683929149
11,0.07405698422530137,0.9762211653851283,0.05191099285924496,0.98390643742503,0.9996904734127356,0.9837150089823923
12,0.07184917686292767,0.9774323303257922,0.052571418258349975,0.9843062774890043,0.9996607827569931,0.9842227306339836
13,0.06917950035643644,0.9782879239077292,0.05089247965107544,0.9845061975209916,0.9996646099722918,0.9843166757080234
14,0.06768611826400311,0.9787990577358994,0.04975468170691709,0.9851059576169532,0.9996907973113177,0.9849766666923063
15,0.06772558322578935,0.9787212765011778,0.04915894454427776,0.9852059176329468,0.9996927963529851,0.9851109316625729
16,0.06595518218865103,0.9795102004533535,0.050213767180047254,0.9851059576169532,0.9996895566306956,0.9851255264603355
17,0.0649950506409103,0.9795657584781546,0.049671519307888115,0.9848060775689724,0.9996621753439706,0.9846138218961706
18,0.06561058910860051,0.9798102137872794,0.04871744883586703,0.9856057576969213,0.9997107086091884,0.9854850948850249
19,0.06464488557665511,0.979687986132717,0.048915095493251064,0.9852059176329468,0.9996768365987783,0.9851528034397421
20,0.06542235202108777,0.979787990577359,0.04843969625837562,0.9851059576169532,0.9996889269538788,0.9849142056718586
