Epoch,Train_Loss,Train_Accuracy,Valid_Loss,Valid_Accuracy,Valid_AUC,Valid_F1
1,0.5679015402523876,0.8061691630739144,0.42233973623561366,0.852858856457417,0.9853251428119414,0.8535450299797227
2,0.4440799347267844,0.8426374505533579,0.4120950077186342,0.8530587764894042,0.9862665579860115,0.8537664430190159
3,0.4366864523356096,0.8452931241388506,0.3802724971813185,0.8676529388244703,0.9875261123158177,0.8664710123340541
4,0.4236025760992828,0.8493266367394107,0.3921654132879624,0.8621551379448221,0.9871352340222838,0.8636586748022416
5,0.42051327328686394,0.8510267122983244,0.3772215511335558,0.8687524990003999,0.987741986219739,0.8692011157687882
6,0.3861132119973716,0.8622160984932664,0.36650499149185806,0.868452618952419,0.9879303807710748,0.8675847007689291
7,0.3880679557268246,0.8638717276323392,0.36745564236802036,0.8710515793682527,0.9882328043485459,0.8704126705976268
8,0.38399666727524373,0.8654940219565314,0.3730540369711414,0.8640543782487006,0.9879645279246804,0.8634553725926224
9,0.383676494569046,0.8650828925730032,0.35001594428775884,0.8764494202319072,0.9893182075725895,0.8761301922047932
10,0.38220822708337243,0.8659162629450198,0.35752992034673403,0.8750499800079968,0.9886464043650144,0.8753495292600975
11,0.3773707963853758,0.8671496510956043,0.3639736488157632,0.8704518192722911,0.9883893067006958,0.870876300107553
12,0.38059525399151056,0.8667607449219965,0.3555988483979958,0.8780487804878049,0.9888345079016835,0.8777937250728377
13,0.3766618915303897,0.8684719320858705,0.3709212553615524,0.8675529788084766,0.9880180663513206,0.8668879245794369
14,0.38133619873993896,0.8666496288723943,0.3571662475637606,0.8740503798480608,0.988795572179296,0.8739080627837092
15,0.379469925967623,0.8665718476376728,0.3598997833275023,0.8788484606157537,0.9887362327453901,0.8787879881842333
16,0.3780362424312568,0.8677163429485755,0.35956825842050877,0.87375049980008,0.9883814414169633,0.8728146495324504
17,0.3794515613444811,0.8667718565269568,0.35896365452365653,0.8759496201519392,0.9885553025742931,0.8754945482691341
18,0.3790080629710044,0.866982977021201,0.3613773171232491,0.8730507796881247,0.9884569618071699,0.873052925096534
19,0.38093315669788647,0.8657718120805369,0.3549907566642151,0.8748500599760096,0.988799846357813,0.8751940229987129
20,0.3789035723794221,0.8672941019600872,0.3565158264034512,0.87624950019992,0.9887896896137909,0.8757997361260181
